ability-	здатність
able-	знає
about-	кругом
about-	про
above-	нагорі
abroad-	за кордоном
absolutely-	абсолютно
accept-	приймати
acceptable-	прийнятний
accident-	нещасний випадок
accidental-	випадковий
accidentally-	випадково
accommodation-	приміщення
according to-	відповідно до
account-	рахунок
achieve-	домагатися
achievement-	досягнення
across-	поперек
act-	діяти
action-	дію
active-	активний
activity-	діяльність
actual-	фактичний
actually-	фактично
add-	додавати
address-	адресу
address-	адресувати
adjective-	прикметник
admire-	милуватися
admit-	допускати
advanced-	передовий
advantage-	перевага
advice-	рада
advise-	радити
afford-	бути в змозі
afraid-	переляканий
after-	після
afternoon-	час після полудня
afterwards-	згодом
again-	знову
against-	прямо навпаки
age-	вік
ago-	тому
agree-	погоджуватися
agreement-	згоду
ahead-	вперед
aim-	намір
aim-	прагнути
air-	повітря
alive-	живий
all-	весь
allow-	поз Воля
almost-	майже
alone-	самотній
along-	уздовж
along-	в тому ж напрямку
already-	вже
also-	теж
although-	хоча
always-	завжди
among-	між
amount-	величина
and-	і
angry-	розсерджений
announce-	оголошувати
another-	іншу
answer-	відповідь
answer-	відповідати
anxious-	стурбований
any-	всякий
any-	анітрохи
anybody-	хтось
anyone-	хтось
anything-	що-небудь
anyway = anyhow-	так чи інакше
anywhere-	десь
apart-	в стороні
apologize = apologise-	вибачатися
apparently-	очевидно
appeal-	заклик
appeal-	звертатися
appear-	показуватися
appearance-	зовнішність
apply-	звертатися
approval-	схвалення
approve-	стверджувати
area-	площа
argue-	сперечатися
argument-	довід
arm-	рука (від кисті до плеча)
around-	усюди
arrange-	приводити в порядок
arrangement-	розміщення
arrival-	прибуття (at
arrive-	прибувати
art-	мистецтво
artificial-	штучний
as-	як
ashamed-	присоромлений
ask-	питати
at-	в
attach-	прикріплювати
attempt-	спроба
attempt-	намагатися
attention-	увагу
attitude-	позиція
attract-	при залучати
attractive-	привабливий
authority-	влада
autumn-	осінь
available-	доступний
average-	середнє
avoid-	уникати
awake-	не спляча
aware-	знає
away-	геть
back-	спина
back-	тому
back-	підтримувати
backwards-	назад
bad-	поганий
badly-	погано
bag-	сумка
balance-	ваги
ball-	куля
band-	оркестр
bang-	удар
bang-	і бити
bank-	банк
bar-	бар
base-	база
base-	базувати
basic-	що становить основу
basically-	в своїй основі; по суті
basis-	базис
bath-	ванна
battery-	батарея
be-	бути
bear-	терпіти
beat-	бити
beautiful-	красивий
because-	тому що
become-	ставати
before-	перед
before-	попереду
